Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Real Madrid,8,7,0,1,19,9,10,21,2.63,17.6,9.5,8.1,1.01,W W W L W,72447,Kylian Mbappé - 9,Thibaut Courtois,
2,Barcelona,8,6,1,1,22,9,13,19,2.38,18.0,9.1,8.9,1.11,W W W W L,20559,"Robert Lewandowski, Ferrán Torres - 4",Joan García,
3,Villarreal,8,5,1,2,14,8,6,16,2.0,13.3,10.5,2.8,0.34,L W W W L,18245,Tajon Buchanan - 3,Luiz Lúcio Reis Júnior,
4,Betis,8,4,3,1,13,8,5,15,1.88,11.2,8.3,2.9,0.36,L D W W W,57419,Cucho - 4,Pau López,
5,Espanyol,9,4,3,2,13,11,2,15,1.67,17.1,10.9,6.2,0.69,L D D L W,29011,Pere Milla - 4,Marko Dmitrović,
6,Atlético Madrid,8,3,4,1,15,10,5,13,1.63,13.3,8.6,4.7,0.59,W D W W D,61487,Julián Álvarez - 6,Jan Oblak,
7,Sevilla,8,4,1,3,15,11,4,13,1.63,8.0,13.4,-5.4,-0.68,D W L W W,38303,Isaac Romero - 3,"Odysseas Vlachodimos, Ørjan Nyland",
8,Elche,8,3,4,1,11,9,2,13,1.63,9.5,9.7,-0.1,-0.02,D W D W L,27366,André Silva - 4,Matías Dituro,
9,Athletic Club,8,4,1,3,9,9,0,13,1.63,11.8,6.3,5.5,0.69,L L D L W,47962,"Iñaki Williams, Roberto Navarro... - 1",Unai Simón,
10,Alavés,8,3,2,3,9,8,1,11,1.38,7.9,6.7,1.2,0.14,W L D L W,16152,Carlos Vicente - 3,Antonio Sivera,
11,Getafe,8,3,2,3,9,11,-2,11,1.38,5.5,6.8,-1.3,-0.16,W L D D L,8137,Adrián Liso - 3,David Soria,
12,Osasuna,8,3,1,4,7,8,-1,10,1.25,7.9,9.2,-1.2,-0.16,W L D L W,20277,Ante Budimir - 2,Sergio Herrera,
13,Levante,8,2,2,4,13,14,-1,8,1.0,11.8,12.5,-0.7,-0.09,D W L D W,22905,"Iván Romero, Karl Etta Eyong - 4",Mathew Ryan,
14,Rayo Vallecano,8,2,2,4,8,10,-2,8,1.0,12.0,11.2,0.7,0.09,L D L L W,13515,"Álvaro García, Jorge de Frutos - 2",Augusto Batalla,
15,Valencia,8,2,2,4,10,14,-4,8,1.0,8.9,11.0,-2.1,-0.26,L W D L L,44288,"Arnaut Danjuma, Hugo Duro - 3",Julen Agirrezabala,
16,Celta Vigo,8,0,6,2,7,10,-3,6,0.75,9.3,9.1,0.2,0.03,D D D L D,20149,Borja Iglesias - 4,Ionuț Radu,
17,Girona,8,1,3,4,5,17,-12,6,0.75,6.6,16.0,-9.4,-1.17,D L D D W,11422,Vladyslav Vanat - 2,Paulo Gazzaniga,
18,Oviedo,9,2,0,7,4,16,-12,6,0.67,7.1,17.3,-10.2,-1.14,L L W L L,26960,"Salomón Rondón, Leander Dendoncker... - 1",Aarón Escandell,
19,Real Sociedad,8,1,2,5,7,12,-5,5,0.63,10.4,12.6,-2.2,-0.28,L L W L L,30551,Mikel Oyarzabal - 2,Álex Remiro,
20,Mallorca,8,1,2,5,7,13,-6,5,0.63,6.3,14.7,-8.5,-1.06,L D L W L,19224,Vedat Muriqi - 4,Leo Román,
