Date,Comp,venue,opponent,goals_for,goals_against,result
2023-08-12,Premier League,Home,Nott'ham Forest,2,1,W
2023-08-21,Premier League,Away,Crystal Palace,1,0,W
2023-08-26,Premier League,Home,Fulham,2,2,D
2023-09-03,Premier League,Home,Manchester Utd,3,1,W
2023-09-17,Premier League,Away,Everton,1,0,W
2023-09-24,Premier League,Home,Tottenham,2,2,D
2023-09-30,Premier League,Away,Bournemouth,4,0,W
2023-10-08,Premier League,Home,Manchester City,1,0,W
2023-10-21,Premier League,Away,Chelsea,2,2,D
2023-10-28,Premier League,Home,Sheffield Utd,5,0,W
2023-11-04,Premier League,Away,Newcastle Utd,0,1,L
2023-11-11,Premier League,Home,Burnley,3,1,W
2023-11-25,Premier League,Away,Brentford,1,0,W
2023-12-02,Premier League,Home,Wolves,2,1,W
2023-12-05,Premier League,Away,Luton Town,4,3,W
2023-12-09,Premier League,Away,Aston Villa,0,1,L
2023-12-17,Premier League,Home,Brighton,2,0,W
2023-12-23,Premier League,Away,Liverpool,1,1,D
2023-12-28,Premier League,Home,West Ham,0,2,L
2023-12-31,Premier League,Away,Fulham,1,2,L
2024-01-20,Premier League,Home,Crystal Palace,5,0,W
2024-01-30,Premier League,Away,Nott'ham Forest,2,1,W
2024-02-04,Premier League,Home,Liverpool,3,1,W
2024-02-11,Premier League,Away,West Ham,6,0,W
2024-02-17,Premier League,Away,Burnley,5,0,W
2024-02-24,Premier League,Home,Newcastle Utd,4,1,W
2024-03-04,Premier League,Away,Sheffield Utd,6,0,W
2024-03-09,Premier League,Home,Brentford,2,1,W
2024-03-31,Premier League,Away,Manchester City,0,0,D
2024-04-03,Premier League,Home,Luton Town,2,0,W
2024-04-06,Premier League,Away,Brighton,3,0,W
2024-04-14,Premier League,Home,Aston Villa,0,2,L
2024-04-20,Premier League,Away,Wolves,2,0,W
2024-04-23,Premier League,Home,Chelsea,5,0,W
2024-04-28,Premier League,Away,Tottenham,3,2,W
2024-05-04,Premier League,Home,Bournemouth,3,0,W
2024-05-12,Premier League,Away,Manchester Utd,1,0,W
2024-05-19,Premier League,Home,Everton,2,1,W
