Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Expected,Expected,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
vs Arsenal,25,38.0,12735,16241,78.4,217385,76188,6176,6946,88.9,5121,5958,86.0,1113,2437,45.7,20,19.9,18.7,0.1,226,889,163,33,938
vs Aston Villa,31,38.0,14216,17430,81.6,239443,85533,7055,7781,90.7,5620,6445,87.2,1190,2221,53.6,45,48.9,39.3,-3.9,360,1013,292,59,1255
vs Bournemouth,30,38.0,15916,20032,79.5,269036,104065,7889,8921,88.4,6246,7331,85.2,1395,2722,51.2,44,39.9,42.3,4.1,402,1124,359,66,1500
vs Brentford,28,38.0,16393,20488,80.0,267829,93765,8497,9480,89.6,6112,7202,84.9,1287,2632,48.9,50,43.6,40.7,6.4,417,1447,425,89,1585
vs Brighton,30,38.0,13433,16750,80.2,230225,82554,6362,7062,90.1,5618,6430,87.4,1136,2396,47.4,42,39.3,33.0,2.7,339,945,293,46,1175
vs Burnley,31,38.0,16155,20216,79.9,276756,96023,7590,8614,88.1,6753,7790,86.7,1384,2735,50.6,54,52.0,43.6,2.0,474,1107,413,88,1501
vs Chelsea,32,38.0,13051,16487,79.2,226502,84193,6231,7079,88.0,5230,6113,85.6,1273,2394,53.2,43,42.0,35.8,1.0,415,996,319,87,1368
vs Crystal Palace,26,38.0,19197,23229,82.6,324522,105926,9181,10206,90.0,8090,9172,88.2,1479,2729,54.2,46,40.3,37.3,5.7,345,1440,360,92,1713
vs Everton,26,38.0,18660,22807,81.8,317642,109149,8781,9822,89.4,7837,8928,87.8,1567,2941,53.3,30,37.3,34.3,-7.3,401,1288,355,87,1642
vs Fulham,25,38.0,16233,19973,81.3,275297,96482,7779,8725,89.2,6745,7729,87.3,1315,2484,52.9,36,43.7,39.2,-7.7,389,1194,320,61,1533
vs Liverpool,30,38.0,11775,15575,75.6,199390,78610,5764,6650,86.7,4556,5521,82.5,1067,2408,44.3,27,33.9,28.1,-6.9,303,809,252,48,1154
vs Luton Town,28,38.0,16911,20927,80.8,288075,103014,7967,8899,89.5,7030,8054,87.3,1417,2857,49.6,57,56.8,51.4,0.2,488,1230,388,90,1495
vs Manchester City,25,38.0,11864,14869,79.8,207411,75630,5451,6120,89.1,4945,5662,87.3,1151,2216,51.9,23,26.4,19.5,-3.4,220,672,181,42,824
vs Manchester Utd,31,38.0,15396,19160,80.4,269375,96265,7060,7900,89.4,6538,7617,85.8,1418,2622,54.1,39,51.1,42.7,-12.1,513,1138,384,65,1578
vs Newcastle Utd,32,38.0,14538,18229,79.8,243963,86013,7222,7993,90.4,5704,6668,85.5,1240,2583,48.0,47,46.3,37.5,0.7,409,1083,306,67,1343
vs Nott'ham Forest,33,38.0,19173,23049,83.2,321940,107550,9247,10240,90.3,8016,9104,88.0,1467,2625,55.9,48,37.1,39.1,10.9,361,1597,365,73,1901
vs Sheffield Utd,35,38.0,20553,24579,83.6,346464,115444,9841,10890,90.4,8501,9679,87.8,1669,2794,59.7,75,57.0,52.6,18.0,532,1608,442,91,1975
vs Tottenham,29,38.0,11600,15111,76.8,215542,84846,5145,5896,87.3,4665,5511,84.6,1510,2763,54.7,39,42.1,33.6,-3.1,354,895,294,61,1103
vs West Ham,26,38.0,19795,23658,83.7,322910,108256,9922,10963,90.5,7956,9023,88.2,1393,2508,55.5,51,51.1,51.0,-0.1,512,1552,477,88,2015
vs Wolves,27,38.0,16495,20265,81.4,276045,96642,7880,8824,89.3,6851,7876,87.0,1291,2449,52.7,43,48.0,47.4,-5.0,421,1382,390,80,1742
