Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
vs Arsenal,25,38.0,83,2,1,416,390,38,534,261,420,3,2,2,1337,465,471,49.7
vs Aston Villa,28,38.0,104,2,1,510,394,93,683,347,387,2,6,2,1539,423,378,52.8
vs Bournemouth,29,38.0,94,5,3,410,510,42,601,279,396,3,7,1,1662,606,573,51.4
vs Brentford,28,38.0,82,3,2,355,316,58,793,287,362,1,6,1,1678,567,624,47.6
vs Brighton,32,38.0,93,5,4,427,421,88,543,320,408,7,7,2,1532,463,518,47.2
vs Chelsea,29,38.0,98,2,1,457,422,88,543,286,368,6,5,3,1483,390,402,49.2
vs Crystal Palace,29,38.0,84,4,3,418,398,47,716,342,319,2,4,2,1723,636,511,55.4
vs Everton,26,38.0,46,2,1,395,420,51,731,235,424,2,2,3,1565,564,614,47.9
vs Fulham,26,38.0,67,3,1,371,425,83,632,336,306,4,4,1,1585,532,533,50.0
vs Ipswich Town,32,38.0,65,2,1,414,414,42,778,242,366,6,2,1,1596,533,552,49.1
vs Leicester City,32,38.0,58,2,1,403,412,61,751,269,411,3,3,0,1655,579,503,53.5
vs Liverpool,24,38.0,84,2,2,371,419,96,500,320,402,2,9,1,1576,368,406,47.5
vs Manchester City,30,38.0,88,2,1,387,276,85,455,310,399,4,4,1,1319,334,310,51.9
vs Manchester Utd,31,38.0,71,3,0,385,387,57,598,325,414,3,4,2,1690,488,486,50.1
vs Newcastle Utd,24,38.0,97,3,1,464,385,43,651,301,433,2,6,2,1634,466,487,48.9
vs Nott'ham Forest,23,38.0,104,2,2,434,390,36,886,265,365,2,3,1,1545,559,570,49.5
vs Southampton,36,38.0,54,1,0,435,445,49,758,311,405,7,2,1,1635,421,468,47.4
vs Tottenham,31,38.0,85,3,0,494,431,87,697,391,548,3,4,3,1652,437,422,50.9
vs West Ham,27,38.0,56,1,0,410,428,55,811,298,435,3,3,3,1582,560,587,48.8
vs Wolves,32,38.0,85,3,1,442,465,76,714,308,422,9,0,1,1609,475,451,51.3
